seq_no,ctd_section,title,xml_element,item_type,relative_path,comment
133,3.3,Literature References,m3-3-literature-references,directory,m3/33-lit-ref,"Copies of literature references should ordinarily be submitted as individual files (i.e., one for each reference).CTD numbering is not defined below this level (e.g., 3.3.1)."
134,,Reference 1,m3-3-literature-references,file,m3/33-lit-ref/reference-1.pdf,
135,,Reference 2,m3-3-literature-references,file,m3/33-lit-ref/reference-2.pdf,
136,,Reference 3,m3-3-literature-references,file,m3/33-lit-ref/reference-3.pdf,
137,4,Nonclinical Study Reports,m4-nonclinical-study-reports,directory,m4,
138,4.2,Study Reports,m4-2-study-reports,directory,m4/42-stud-rep,
139,4.2.1,Pharmacology,m4-2-1-pharmacology,directory,m4/42-stud-rep/421-pharmacol,
140,4.2.1.1,Primary Pharmacodynamics,m4-2-1-1-primary-pharmacodynamics,directory,m4/42-stud-rep/421-pharmacol/4211-prim-pd,
141,,Study Report 1,m4-2-1-1-primary-pharmacodynamics,file,m4/42-stud-rep/421-pharmacol/4211-prim-pd/study-report-1.pdf,"This comment is applicable to all study reports in Module 4. A single file can be provided for each study report document in Module 4. However, where the study report is large (e.g., a carcinogenicity study) the applicant can choose to submit the report as more than one file. In this case the text portion of the report should be one file and the appendices can be one or more files. In choosing the level of granularity for these reports, the applicant should consider that, when relevant information is changed at any point in the product's life cycle, replacements of complete files should be provided. Where submission as a collection of multiple files is used it is recommended that a directory is created at the study report level and the relevant files included within the directory. It is possible to have the additional graphical file(s) inserted directly into the PDF file, thus making management of the file easier. Alternatively, the applicant can choose to manage graphical files independently. Individual studies and files do not have specific CTD numbers."
142,,Study Report 2,m4-2-1-1-primary-pharmacodynamics,file,m4/42-stud-rep/421-pharmacol/4211-prim-pd/study-report-2.pdf,
143,,Study Report 3,m4-2-1-1-primary-pharmacodynamics,file,m4/42-stud-rep/421-pharmacol/4211-prim-pd/study-report-3.pdf,
144,4.2.1.2,Secondary Pharmacodynamics,m4-2-1-2-secondary-pharmacodynamics,directory,m4/42-stud-rep/421-pharmacol/4212-sec-pd,
145,,Study Report 1,m4-2-1-2-secondary-pharmacodynamics,file,m4/42-stud-rep/421-pharmacol/4212-sec-pd/study-report-1.pdf,
146,,Study Report 2,m4-2-1-2-secondary-pharmacodynamics,file,m4/42-stud-rep/421-pharmacol/4212-sec-pd/study-report-2.pdf,
147,,Study Report 3,m4-2-1-2-secondary-pharmacodynamics,file,m4/42-stud-rep/421-pharmacol/4212-sec-pd/study-report-3.pdf,
148,4.2.1.3,Safety Pharmacology,m4-2-1-3-safety-pharmacology,directory,m4/42-stud-rep/421-pharmacol/4213-safety-pharmacol,
149,,Study Report 1,m4-2-1-3-safety-pharmacology,file,m4/42-stud-rep/421-pharmacol/4213-safety-pharmacol/study-report-1.pdf,
150,,Study Report 2,m4-2-1-3-safety-pharmacology,file,m4/42-stud-rep/421-pharmacol/4213-safety-pharmacol/study-report-2.pdf,
151,,Study Report 3,m4-2-1-3-safety-pharmacology,file,m4/42-stud-rep/421-pharmacol/4213-safety-pharmacol/study-report-3.pdf,
152,4.2.1.4,Pharmacodynamic Drug Interactions,m4-2-1-4-pharmacodynamic-drug-interactions,directory,m4/42-stud-rep/421-pharmacol/4214-pd-drug-interact,
153,,Study Report 1,m4-2-1-4-pharmacodynamic-drug-interactions,file,m4/42-stud-rep/421-pharmacol/4214-pd-drug-interact/study-report-1.pdf,
154,,Study Report 2,m4-2-1-4-pharmacodynamic-drug-interactions,file,m4/42-stud-rep/421-pharmacol/4214-pd-drug-interact/study-report-2.pdf,
155,,Study Report 3,m4-2-1-4-pharmacodynamic-drug-interactions,file,m4/42-stud-rep/421-pharmacol/4214-pd-drug-interact/study-report-3.pdf,
156,4.2.2,Pharmacokinetics,m4-2-2-pharmacokinetics,directory,m4/42-stud-rep/422-pk,
157,4.2.2.1,Analytical Methods and Validation Reports (if separate reports are available),m4-2-2-1-analytical-methods-and-validation-reports,directory,m4/42-stud-rep/422-pk/4221-analyt-met-val,
158,,Study Report 1,m4-2-2-1-analytical-methods-and-validation-reports,file,m4/42-stud-rep/422-pk/4221-analyt-met-val/study-report-1.pdf,
159,,Study Report 2,m4-2-2-1-analytical-methods-and-validation-reports,file,m4/42-stud-rep/422-pk/4221-analyt-met-val/study-report-2.pdf,
160,,Study Report 3,m4-2-2-1-analytical-methods-and-validation-reports,file,m4/42-stud-rep/422-pk/4221-analyt-met-val/study-report-3.pdf,
161,4.2.2.2,Absorption,m4-2-2-2-absorption,directory,m4/42-stud-rep/422-pk/4222-absorp,
162,,Study Report 1,m4-2-2-2-absorption,file,m4/42-stud-rep/422-pk/4222-absorp/study-report-1.pdf,
163,,Study Report 2,m4-2-2-2-absorption,file,m4/42-stud-rep/422-pk/4222-absorp/study-report-2.pdf,
164,,Study Report 3,m4-2-2-2-absorption,file,m4/42-stud-rep/422-pk/4222-absorp/study-report-3.pdf,
165,4.2.2.3,Distribution,m4-2-2-3-distribution,directory,m4/42-stud-rep/422-pk/4223-distrib,
166,,Study Report 1,m4-2-2-3-distribution,file,m4/42-stud-rep/422-pk/4223-distrib/study-report-1.pdf,
167,,Study Report 2,m4-2-2-3-distribution,file,m4/42-stud-rep/422-pk/4223-distrib/study-report-2.pdf,
168,,Study Report 3,m4-2-2-3-distribution,file,m4/42-stud-rep/422-pk/4223-distrib/study-report-3.pdf,
169,4.2.2.4,Metabolism,m4-2-2-4-metabolism,directory,m4/42-stud-rep/422-pk/4224-metab,
170,,Study Report 1,m4-2-2-4-metabolism,file,m4/42-stud-rep/422-pk/4224-metab/study-report-1.pdf,
171,,Study Report 2,m4-2-2-4-metabolism,file,m4/42-stud-rep/422-pk/4224-metab/study-report-2.pdf,
172,,Study Report 3,m4-2-2-4-metabolism,file,m4/42-stud-rep/422-pk/4224-metab/study-report-3.pdf,
173,4.2.2.5,Excretion,m4-2-2-5-excretion,directory,m4/42-stud-rep/422-pk/4225-excr,
174,,Study Report 1,m4-2-2-5-excretion,file,m4/42-stud-rep/422-pk/4225-excr/study-report-1.pdf,
175,,Study Report 2,m4-2-2-5-excretion,file,m4/42-stud-rep/422-pk/4225-excr/study-report-2.pdf,
176,,Study Report 3,m4-2-2-5-excretion,file,m4/42-stud-rep/422-pk/4225-excr/study-report-3.pdf,
177,4.2.2.6,Pharmacokinetic Drug Interactions (nonclinical),m4-2-2-6-pharmacokinetic-drug-interactions,directory,m4/42-stud-rep/422-pk/4226-pk-drug-interact,
